16°41′20″S,-16.68882937,49°11′57″W,-49.19911707,7.0001,91.782°
16°43′08″S,-16.71882857,49°14′12″W,-49.23656186,4.6549,139.763°
16°42′49″S,-16.71374454,49°13′51″W,-49.23088475,4.6875,129.602°
16°37′16″S,-16.62116754,49°15′20″W,-49.25555192,7.3752,7.671°
16°39′10″S,-16.65269676,49°16′32″W,-49.27547074,3.969,343.334°
16°38′04″S,-16.63445128,49°17′40″W,-49.29448206,6.6348,331.513°
16°44′55″S,-16.74865298,49°17′56″W,-49.29891729,7.7731,207.881°
16°41′59″S,-16.70004434,49°18′46″W,-49.31291049,5.3318,254.057°
16°38′41″S,-16.64459301,49°14′14″W,-49.23725077,5.5439,31.961°
16°40′15″S,-16.67085043,49°12′12″W,-49.20345883,6.7734,74.745°
16°44′58″S,-16.74957818,49°16′03″W,-49.26741427,6.979,182.297°
16°40′10″S,-16.66949215,49°15′23″W,-49.2563043,2.1351,25.05°
16°44′02″S,-16.73391826,49°18′49″W,-49.31366923,7.3814,224.859°
16°44′39″S,-16.74406871,49°18′07″W,-49.30205664,7.4979,211.965°
16°40′03″S,-16.66757321,49°20′03″W,-49.33428948,7.7103,286.164°
16°44′59″S,-16.74969172,49°16′01″W,-49.26695317,6.9899,181.89°
16°42′30″S,-16.70839916,49°14′47″W,-49.24631745,3.0984,140.574°
16°41′45″S,-16.69583524,49°14′04″W,-49.23456954,3.37,107.191°
16°40′08″S,-16.66894746,49°17′54″W,-49.29823162,4.0837,299.237°
16°42′29″S,-16.70796095,49°12′03″W,-49.20077265,7.2118,108.98°
16°42′14″S,-16.70381914,49°19′45″W,-49.32919301,7.1154,254.639°
16°40′34″S,-16.67600035,49°12′39″W,-49.21093127,5.8645,78.097°
16°41′35″S,-16.692982,49°13′02″W,-49.21720009,5.1153,97.628°
16°39′39″S,-16.66090663,49°15′07″W,-49.25204283,3.1924,25.177°
16°41′06″S,-16.68489533,49°17′33″W,-49.29257743,2.969,274.265°
16°44′19″S,-16.73870999,49°14′14″W,-49.23710133,6.4753,152.907°
16°44′08″S,-16.73562785,49°15′33″W,-49.25914449,5.455,173.673°
16°42′04″S,-16.70105651,49°14′29″W,-49.24144155,2.9449,122.371°
16°45′02″S,-16.7506895,49°15′23″W,-49.25625211,7.155,172.7°
16°38′27″S,-16.64083357,49°13′42″W,-49.22832988,6.4285,37.185°
16°41′45″S,-16.69592961,49°16′02″W,-49.26725348,1.04,194.626°
16°44′27″S,-16.74075049,49°17′09″W,-49.28589414,6.3995,200.566°
16°42′16″S,-16.70442433,49°16′31″W,-49.2753069,2.25,209.869°
16°38′26″S,-16.6404197,49°17′26″W,-49.29043746,5.8461,332.124°
16°43′16″S,-16.72113704,49°15′15″W,-49.25407487,3.9773,163.325°
