20°29′53″S,-20.49817346,54°39′48″W,-54.66333042,5.5038,234.878°
20°26′06″S,-20.43490107,54°33′16″W,-54.55449394,7.8592,60.497°
20°29′34″S,-20.4928614,54°32′23″W,-54.539621,8.7741,107.08°
20°30′58″S,-20.51622902,54°33′51″W,-54.5642877,7.7853,131.661°
20°27′27″S,-20.45737574,54°39′23″W,-54.65632149,4.0141,289.979°
20°30′54″S,-20.51501004,54°37′26″W,-54.62401587,5.0548,184.604°
20°24′33″S,-20.40909696,54°37′39″W,-54.62745979,6.7851,353.526°
20°33′08″S,-20.55228783,54°35′29″W,-54.59147189,9.6575,162.004°
20°32′31″S,-20.5419442,54°39′47″W,-54.66306888,9.1961,209.106°
20°26′01″S,-20.43372251,54°41′01″W,-54.68374613,7.7452,301.107°
20°31′20″S,-20.52219421,54°33′15″W,-54.55424883,9.0098,130.396°
20°30′55″S,-20.51526782,54°40′13″W,-54.67030936,7.2814,225.892°
20°28′26″S,-20.47388686,54°34′01″W,-54.56684696,5.5707,94.793°
20°31′36″S,-20.52679424,54°36′30″W,-54.60840996,6.4654,169.124°
20°23′49″S,-20.39704926,54°39′15″W,-54.65413587,8.8253,336.308°
20°30′18″S,-20.50494979,54°37′55″W,-54.63189778,4.1071,197.381°
20°25′14″S,-20.42061228,54°38′26″W,-54.64054432,5.8612,338.702°
20°26′44″S,-20.44545964,54°37′51″W,-54.63073363,2.9153,337.704°
20°28′37″S,-20.47695778,54°36′09″W,-54.60240574,2.0143,113.593°
20°33′11″S,-20.55309752,54°36′20″W,-54.60550996,9.3989,170.683°
20°28′39″S,-20.47760518,54°32′22″W,-54.53932519,8.4646,95.969°
20°26′41″S,-20.44459646,54°38′18″W,-54.63836661,3.3791,325.754°
20°29′49″S,-20.49704185,54°32′53″W,-54.5479599,8.1101,112.027°
20°30′22″S,-20.50604003,54°32′49″W,-54.54703712,8.6204,117.966°
20°24′08″S,-20.40225583,54°35′28″W,-54.59097756,8.0943,22.046°
20°26′22″S,-20.43956151,54°40′28″W,-54.6745062,6.5854,300.602°
20°24′44″S,-20.41225101,54°41′16″W,-54.68782053,9.5199,312.158°
20°31′53″S,-20.53139148,54°40′37″W,-54.6768901,9.0579,220.754°
20°25′36″S,-20.42662413,54°37′29″W,-54.62478395,4.8169,354.209°
20°24′52″S,-20.41457481,54°37′47″W,-54.6297753,6.2145,350.681°
20°26′37″S,-20.44362276,54°40′15″W,-54.67069706,6.0166,298.825°
20°28′15″S,-20.47076529,54°38′42″W,-54.64492278,2.5871,267.396°
